,Diagnose_Code,Diagnose_name
1168,C839,"Ne-Hodgkinův difúzní lymfom, NS   "
1169,C840,Mycosis fungoides     
1170,C841,Sézaryho syndrom     
1171,C842,T-zonální lymfom     
1172,C843,Lymfoepiteloidní lymfom     
1173,C844,"T-buněčný lymfom, periferní    "
1174,C845,Jiné a neurčené T-buněčné lymfomy  
1175,C850,Lymfosarkom      
1176,C851,"B-buněčný lymfom, NS    "
1177,C857,Jiné určené typy ne-Hodgkinova lymfomu  
1178,C859,"Ne-Hodgkinův lymfom, typ NS   "
1179,C880,Waldenströmova makroglobulinémie     
1180,C881,Onemocnění těžkého řetězce alfa   
1181,C882,Onemocnění těžkého řetězce gama   
1182,C883,Imunoproliferativní nemoc tenkého střeva   
1183,C887,Jiná zhoubná imunoproliferativní nemoc   
1184,C889,"Zhoubná imunoproliferativní nemoc, NS   "
1185,C900,Mnohočetný myelom     
1186,C901,Plasmocelulární leukémie     
1187,C902,"Plasmocytom, extramedulární     "
1188,C910,Akutní lymfoblastická leukémie    
1189,C911,Chronická lymfocytární leukémie    
1190,C912,Subakutní lymfocytární leukémie    
1191,C913,Prolymfocytární leukémie     
1192,C914,Leukémie z vlasatých buněk - hairy-cell leukémia
1193,C915,Leukémie z dospělých T-buněk   
1194,C917,Jiná lymfoidní leukémie    
1195,C919,"Lymfoidní leukémie, NS    "
1196,C920,Akutní myeloidní leukémie    
1197,C921,Chronická myeloidní leukémie    
1198,C922,Subakutní myeloidní leukémie    
1199,C923,Myeloidní sarkom     
1200,C924,Akutní promyelocytární leukémie    
1201,C925,Akutní myelomonocytární leukémie    
1202,C927,Jiná myeloidní leukémie    
1203,C929,"Myeloidní leukémie, NS    "
1204,C930,Akutní monocytární leukémie    
1205,C931,Chronická monocytární leukémie    
1206,C932,Subakutní monocytární leukémie    
1207,C937,Jiná monocytární leukémie    
1208,C939,"Monocytární leukémie, NS    "
1209,C940,Akutní erytrémie a erytroleukémie   
1210,C941,Chronická erytrémie     
1211,C942,Akutní megakaryoblastická leukémie    
1212,C943,Mastocelulární (mastocytární) leukémie    
1213,C944,Akutní panmyelóza     
1214,C945,Akutní myelofibróza     
1215,C947,Jiná určená leukémie    
1216,C950,Akutní leukémie neurčeného buněčného typu  
1217,C951,Chronická leukémie neurčeného buněčného typu  
1218,C952,Subakutní leukémie neurčeného buněčného typu  
1219,C957,Jiná leukémie neurčeného buněčného typu  
1220,C959,"Leukémie, NS     "
1221,C960,Nemoc Letterer-Siweho     
1222,C961,Zhoubná histiocytóza     
1223,C962,Zhoubný mastocelulární novotvar    
1224,C963,Pravý histiocytární lymfom    
1225,C967,"Jiné určené zhoubné novotvary mízní,krvetvorné a příbuzné"
1226,C969,"Zhoubný novotvar mízní, krvetvorné a příbuzné tkáně,"
1227,C97, Zhoubné novotvary mnohočetných samostatných (primárních) lokalizací
1228,D000,"Carcinoma in situ- ret, dutina ústní a"
1229,D001,Carcinoma in situ- jícen   
1230,D002,Carcinoma in situ- žaludek   
1231,D010,Carcinoma in situ- tlusté střevo  
1232,D011,Carcinoma in situ- rektosigmoideální spojení  
1233,D012,Carcinoma in situ- konečník   
1234,D013,Carcinoma in situ- řiť a řitní kanál
1235,D014,Carcinoma in situ- jiné a neurčené části
1236,D015,"Carcinoma in situ- játra, žlučník a žlučové"
1237,D017,Carcinoma in situ- jiné určené trávicí orgány
1238,D019,"Carcinoma in situ- trávicí orgány, NS "
1239,D020,Carcinoma in situ- hrtan   
1240,D021,Carcinoma in situ- průdušnice   
1241,D022,Carcinoma in situ- průduška a plíce 
1242,D023,Carcinoma in situ- jiné části dýchacího systému
1243,D024,"Carcinoma in situ- dýchací soustava, NS "
1244,D030,Melanoma in situ rtu   
1245,D031,"Melanoma in situ očního víčka, včetně koutku"
1246,D032,Melanoma in situ ucha a zevního zvukovodu
1247,D033,Melanoma in situ jiných a neurčených částí
1248,D034,Melanoma in situ vlasové části hlavy a
1249,D035,Melanoma in situ trupu   
1250,D036,"Melanoma in situ horní končetiny, včetně ramene"
1251,D037,"Melanoma in situ dolní končetiny, včetně boku"
1252,D038,Melanoma in situ jiných lokalizací  
1253,D039,"Melanoma in situ, NS   "
1254,D040,Carcinoma in situ- kůže rtu  
1255,D041,"Carcinoma in situ- kůže očního víčka, včetně"
1256,D042,Carcinoma in situ- kůže ucha a zevního
1257,D043,Carcinoma in situ- kůže jiných a neurčenýchobličeje
1258,D044,Carcinoma in situ- kůže vlasové části hlavykrku
1259,D045,Carcinoma in situ- kůže trupu  
1260,D046,"Carcinoma in situ- kůže horní končetiny, včetně"
1261,D047,"Carcinoma in situ- kůže dolní končetiny, včetně"
1262,D048,Carcinoma in situ- kůže jiných lokalizací 
1263,D049,"Carcinoma in situ- kůže, NS  "
1264,D050,Lobulární carcinoma in situ   
1265,D051,Intraduktální carcinoma in situ   
1266,D057,Jiné carcinoma in situ prsu  
1267,D059,"Carcinoma in situ prsu, NS  "
1268,D060,Carcinoma in situ- endocervix   
1269,D061,Carcinoma in situ- exocervix   
1270,D067,Carcinoma in situ- jiné části hrdla děložního
1271,D069,Carcinoma in situ- hrdlo děložní - cervixNS
1272,D070,Carcinoma in situ- endometrium   
1273,D071,Carcinoma in situ- vulva   
1274,D072,Carcinoma in situ- pochva   
1275,D073,Carcinoma in situ- jiné a neurčené ženskéorgány
1276,D074,Carcinoma in situ- penis   
1277,D075,Carcinoma in situ- prostata   
1278,D076,Carcinoma in situ- jiné a neurčené mužskéorgány
1279,D090,Carcinoma in situ- močový měchýř  
1280,D091,Carcinoma in situ- jiné a NS močové
1281,D092,Carcinoma in situ- oko   
1282,D093,Carcinoma in situ- štítná žláza a jinésvnitřnísekrecí
1283,D097,Carcinoma in situ jiných určených lokalizací 
1284,D099,"Carcinoma in situ, NS   "
1285,D100,Nezhoubný novotvar- ret    
1286,D101,Nezhoubný novotvar- jazyk    
1287,D102,Nezhoubný novotvar- ústní spodina   
1288,D103,Nezhoubný novotvar- jiné a neurčené části úst
1289,D104,Nezhoubný novotvar- mandle    
1290,D105,Nezhoubný novotvar- jiné části orofaryngu  
1291,D106,Nezhoubný novotvar- nosohltan - nasopharynx  
1292,D107,Nezhoubný novotvar- hypofarynx    
1293,D109,"Nezhoubný novotvar- hltan, NS   "
1294,D110,Nezhoubný novotvar- žláza příušní - glandula parotis
1295,D117,Nezhoubný novotvar- jiné velké slinné žlázy 
1296,D119,"Nezhoubný novotvar- velká slinná žláza, NS "
1297,D120,Nezhoubný novotvar- caecum    
1298,D121,Nezhoubný novotvar- červovitý přívěsek - appendix 
1299,D122,Nezhoubný novotvar- vzestupný tračník - colon ascendens
1300,D123,Nezhoubný novotvar- příčný tračník - colon transversum
1301,D124,Nezhoubný novotvar- sestupný tračník - colon descendens
1302,D125,Nezhoubný novotvar- esovitý tračník - colon sigmoideum
1303,D126,"Nezhoubný novotvar- tračník - colon, NS "
1304,D127,Nezhoubný novotvar- rektosigmoidální spojení   
1305,D128,Nezhoubný novotvar- rectum - konečník  
1306,D129,Nezhoubný novotvar- řitní kanál a řiť 
1307,D130,Nezhoubný novotvar- jícen    
1308,D131,Nezhoubný novotvar- žaludek    
1309,D132,Nezhoubný novotvar- dvanáctník    
1310,D133,Nezhoubný novotvar- jiné a neurčené části tenkého
1311,D134,Nezhoubný novotvar- játra    
1312,D135,Nezhoubný novotvar- extrahepatální žlučové cesty  
1313,D136,Nezhoubný novotvar- slinivka břišní   
1314,D137,Nezhoubný novotvar- endokrinní část slinivky břišní 
1315,D139,Nezhoubný novotvar- nepřesně definované místo v trávicí
1316,D140,"Nezhoubný novotvar- střední ucho, nosní dutina adutinynosní"
1317,D141,Nezhoubný novotvar- hrtan    
1318,D142,Nezhoubný novotvar- průdušnice    
1319,D143,Nezhoubný novotvar- průduška a plíce  
1320,D144,"Nezhoubný novotvar- dýchací soustava, NS  "
1321,D150,Nezhoubný novotvar- brzlík    
1322,D151,Nezhoubný novotvar- srdce    
1323,D152,Nezhoubný novotvar- mediastinum    
1324,D157,Nezhoubný novotvar- jiné určené nitrohrudní orgány 
1325,D159,"Nezhoubný novotvar- nitrohrudní orgán, NS  "
1326,D160,Nezhoubný novotvar- lopatka a dlouhé kosti horní
1327,D161,Nezhoubný novotvar- krátké kosti horní končetiny 
1328,D162,Nezhoubný novotvar- dlouhé kosti dolní končetiny 
1329,D163,Nezhoubný novotvar- krátké kosti dolní končetiny 
1330,D164,Nezhoubný novotvar- kosti lebky a obličeje 
1331,D165,Nezhoubný novotvar- kost dolní čelisti  
1332,D166,Nezhoubný novotvar- páteř    
1333,D167,"Nezhoubný novotvar- žebra, hrudní a klíční kost"
1334,D168,"Nezhoubný novotvar- kosti pánevní, křížová kost a"
1335,D169,"Nezhoubný novotvar- kost a kloubní chrupavka, NS"
1336,D170,Nezhoubný lipomatózní novotvar kůže a podkožní tkáněobličejeakrku
1337,D171,Nezhoubný lipomatózní novotvar kůže a podkožní tkáně
1338,D172,Nezhoubný lipomatózní novotvar kůže a podkožní tkáně
1339,D173,Nezhoubný lipomatózní novotvar kůže a podkožní tkáněaneurčenýchlokalizací
1340,D174,Nezhoubný lipomatózní novotvar nitrohrudních orgánů  
1341,D175,Nezhoubný lipomatózní novotvar nitrobřišních orgánů  
1342,D176,Nezhoubný lipomatózní novotvar provazce semenného  
1343,D177,Nezhoubný lipomatózní novotvar jiných lokalizací  
1344,D179,Nezhoubný lipomatózní novotvar neurčené lokalizace  
1345,D180,Hemangiom kterékoliv lokalizace    
1346,D181,Lymfangiom kterékoliv lokalizace    
1347,D190,Nezhoubný novotvar- mezoteliální tkáň pleury  
1348,D191,Nezhoubný novotvar- mezoteliální tkáň peritonea  
1349,D197,Nezhoubný novotvar- mezoteliální tkáň jiné lokalizace 
1350,D199,Nezhoubný novotvar- mezoteliální tkáň NS  
1351,D200,Nezhoubný nádor- retroperitoneum    
1352,D201,Nezhoubný nádor- peritoneum    
1353,D210,"Jiný nezhoubný nádor- pojivová a jiná měkkáhlavy,obličejeakrku"
1354,D211,Jiný nezhoubný nádor- pojivová a jiná měkkáhorníkončetinyvčetněramene
1355,D212,Jiný nezhoubný nádor- pojivová a jiná měkkádolníkončetinyvčetněkyčle
1356,D213,Jiný nezhoubný nádor- pojivová a jiná měkkáhrudníku
1357,D214,Jiný nezhoubný nádor- pojivová a jiná měkkábřicha
1358,D215,Jiný nezhoubný nádor- pojivová a jiná měkkápánve
1359,D216,Jiný nezhoubný nádor- pojivová a jiná měkkátrupuNS
1360,D219,Jiný nezhoubný nádor- pojivová a jiná měkkáNS
1361,D220,Melanocytový névus rtu    
1362,D221,Melanocytový névus očního víčka včetně koutku 
1363,D222,Melanocytový névus ucha a zevního zvukovodu 
1364,D223,Melanocytový névus jiné a neurčené části obličeje
1365,D224,Melanocytový névus vlasové části hlavy a krku
1366,D225,Melanocytový névus trupu    
1367,D226,Melanocytové névy horní končetiny včetně ramene 
1368,D227,Melanocytové névy dolní končetiny včetně kyčle 
1369,D229,Melanocytové névy NS    
1370,D230,Jiný nezhoubný novotvar- kůže rtu  
1371,D231,"Jiný nezhoubný novotvar- kůže očního víčka, včetně"
1372,D232,Jiný nezhoubný novotvar- kůže ucha a zevního
1373,D233,Jiný nezhoubný novotvar- kůže jiných a neurčenýchobličeje
1374,D234,Jiný nezhoubný novotvar- kůže vlasové části hlavykrku
1375,D235,Jiný nezhoubný novotvar- kůže trupu  
1376,D236,"Jiný nezhoubný novotvar- kůže horní končetiny, včetně"
1377,D237,"Jiný nezhoubný novotvar- kůže dolní končetiny, včetně"
1378,D239,"Jiný nezhoubný novotvar- kůže, NS  "
1379,D24, Nezhoubné novotvary prsu   
1380,D250,Submukózní leiomyom dělohy    
1381,D251,Intramurální leiomyom dělohy    
1382,D252,Subserózní leiomyom dělohy    
1383,D259,"Leiomyom dělohy, NS    "
1384,D260,Jiný nezhoubný novotvar- hrdlo děložní - cervix
1385,D261,Jiný nezhoubný novotvar- tělo děložní - corpus
1386,D267,Jiný nezhoubný novotvar- jiná část dělohy 
1387,D269,"Jiný nezhoubný novotvar- děloha, NS  "
1388,D27, Nezhoubný novotvar vaječníku   
1389,D280,Nezhoubný novotvar- vulva    
1390,D281,Nezhoubný novotvar- pochva - vagina  
1391,D282,Nezhoubný novotvar- vejcovod a vazy děložní 
1392,D287,Nezhoubný novotvar- jiné určené ženské pohlavní orgány
1393,D289,"Nezhoubný novotvar- ženské pohlavní orgány, NS "
1394,D290,Nezhoubný novotvar- pyj - penis  
1395,D291,Nezhoubný novotvar- předstojná žláza - prostata 
1396,D292,Nezhoubný novotvar- varle - testis  
1397,D293,Nezhoubný novotvar- nadvarle - epididymis  
1398,D294,Nezhoubný novotvar- šourek - scrotum  
1399,D297,Nezhoubný novotvar- jiné části mužských pohlavních orgánů
1400,D299,"Nezhoubný novotvar- mužský pohlavní orgán, NS "
1401,D300,Nezhoubný novotvar- ledvina    
1402,D301,Nezhoubný novotvar- ledvinná pánvička - pelvis renalis
1403,D302,Nezhoubný novotvar- močovod - ureter  
1404,D303,Nezhoubný novotvar- močový měchýř - vesica urinaria
1405,D304,Nezhoubný novotvar- močová trubice - urethra 
1406,D307,Nezhoubný novotvar- jiné močové orgány  
1407,D309,"Nezhoubný novotvar- močový orgán, NS  "
1408,D310,Nezhoubný novotvar- spojivka - conjunctiva  
1409,D311,Nezhoubný novotvar- rohovka - cornea  
1410,D312,Nezhoubný novotvar- sítnice- retina   
1411,D313,Nezhoubný novotvar- cévnatka - chorioidea  
1412,D314,Nezhoubný novotvar- řasnaté těleso - corpus ciliare
1413,D315,Nezhoubný novotvar- slzná žláza a slzovod 
1414,D316,"Nezhoubný novotvar- očnice - orbita, NS "
1415,D319,"Nezhoubný novotvar- oko, NS   "
1416,D320,Nezhoubný novotvar- mozkové pleny - meninges cerebri
1417,D321,Nezhoubný novotvar- míšní pleny - meninges spinales
1418,D329,"Nezhoubný novotvar- meningy, NS   "
1419,D330,Nezhoubný novotvar- mozek supratentoriální   
1420,D331,Nezhoubný novotvar- mozek infratentoriální   
1421,D332,"Nezhoubný novotvar- mozek, NS   "
1422,D333,Nezhoubný novotvar- mozkové nervy   
1423,D334,Nezhoubný novotvar- mícha    
1424,D337,Nezhoubný novotvar- jiné určené části centrální nervové
1425,D339,"Nezhoubný novotvar- centrální nervová soustava, NS "
1426,D34, Nezhoubný novotvar štítné žlázy  
1427,D350,Nezhoubný novotvar- nadledvina - glandula suprarenalis (adrenalis)
1428,D351,Nezhoubný novotvar- příštítná žláza - glandula parathyreoidea
1429,D352,Nezhoubný novotvar- hypofýza - glandula pituitaria 
1430,D353,Nezhoubný novotvar- ductus craniopharyngealis   
1431,D354,Nezhoubný novotvar- epifýza - glandula pinealis 
1432,D355,Nezhoubný novotvar- karotické tělísko - glomus caroticum
1433,D356,Nezhoubný novotvar- aortické tělísko a jiná paraganglia
1434,D357,Nezhoubný novotvar- jiné určené žlázy s vnitřní
1435,D358,Nezhoubný novotvar- postižení více žláz s vnitřní
1436,D359,"Nezhoubný novotvar- žláza s vnitřní sekrecí, NS"
1437,D360,Nezhoubný novotvar- mízní uzliny   
1438,D361,Nezhoubný novotvar- periferní nervy a autonomní nervová
1439,D367,Nezhoubný novotvar- jiné určené lokalizace  
1440,D369,Nezhoubný novotvar neurčené lokalizace   
1441,D370,"Novotvar nejistého nebo neznámého chování- ret, dutinaahltan"
1442,D371,Novotvar nejistého nebo neznámého chování- žaludek 
1443,D372,Novotvar nejistého nebo neznámého chování- tenké střevo
1444,D373,Novotvar nejistého nebo neznámého chování- červovitý přívěsek
1445,D374,Novotvar nejistého nebo neznámého chování- tlusté střevo
1446,D375,Novotvar nejistého nebo neznámého chování- konečník 
1447,D376,"Novotvar nejistého nebo neznámého chování- játra, žlučníkžlučovody"
1448,D377,Novotvar nejistého nebo neznámého chování- jiné trávicí
1449,D379,"Novotvar nejistého nebo neznámého chování- trávicí orgán,"
1450,D380,Novotvar nejistého nebo neznámého chování- hrtan 
1451,D381,"Novotvar nejistého nebo neznámého chování- průdušnice, průduškaplíce"
1452,D382,Novotvar nejistého nebo neznámého chování- pohrudnice -
1453,D383,Novotvar nejistého nebo neznámého chování- mezihrudí -
1454,D384,Novotvar nejistého nebo neznámého chování- brzlík -
1455,D385,Novotvar nejistého nebo neznámého chování- jiné respirační
1456,D386,"Novotvar nejistého nebo neznámého chování- dýchací orgán,"
1457,D390,Novotvar nejistého nebo neznámého chování- děloha 
1458,D391,Novotvar nejistého nebo neznámého chování- vaječník 
1459,D392,Novotvar nejistého nebo neznámého chování- placenta 
1460,D397,Novotvar nejistého nebo neznámého chování- jiné ženskéorgány
1461,D399,Novotvar nejistého nebo neznámého chování- ženský pohlavníNS
1462,D400,Novotvar nejistého nebo neznámého chování- předstojná žlázaprostata
1463,D401,Novotvar nejistého nebo neznámého chování- varle -
1464,D407,Novotvar nejistého nebo neznámého chování- jiné mužskéorgány
1465,D409,Novotvar nejistého nebo neznámého chování- mužský pohlavníNS
1466,D410,Novotvar nejistého nebo neznámého chování- ledvina 
1467,D411,Novotvar nejistého nebo neznámého chování- ledvinná pánvičkapelvisrenalis
1468,D412,Novotvar nejistého nebo neznámého chování- močovod -
1469,D413,Novotvar nejistého nebo neznámého chování- močová trubiceurethra
1470,D414,Novotvar nejistého nebo neznámého chování- močový měchýřvesicaurinaria
1471,D417,Novotvar nejistého nebo neznámého chování- jiné močové
1472,D419,"Novotvar nejistého nebo neznámého chování- močový orgán,"
1473,D420,Novotvar nejistého nebo neznámého chování- mozkové plenymeningescerebri
1474,D421,Novotvar nejistého nebo neznámého chování- míšní plenymeningesspinales
1475,D429,"Novotvar nejistého nebo neznámého chování- mozkomíšní plenymeninges,NS"
1476,D430,Novotvar nejistého nebo neznámého chování- mozek supratentoriální
1477,D431,Novotvar nejistého nebo neznámého chování- mozek infratentoriální
1478,D432,Novotvar nejistého nebo neznámého chování- mozek NS
1479,D433,Novotvar nejistého nebo neznámého chování- mozkové nervy
1480,D434,Novotvar nejistého nebo neznámého chování- mícha 
1481,D437,Novotvar nejistého nebo neznámého chování- jiné určenécentrálnínervovésoustavy
1482,D439,Novotvar nejistého nebo neznámého chování- centrální nervováNS
1483,D440,Novotvar nejistého nebo neznámého chování- štítná žlázaglandulathyroidea
1484,D441,Novotvar nejistého nebo neznámého chování- nadledvina -suprarenalis(adrenalis)
1485,D442,Novotvar nejistého nebo neznámého chování- příštítná žlázaglandulaparathyroidea
1486,D443,Novotvar nejistého nebo neznámého chování- hypofýza -pituitaria
1487,D444,Novotvar nejistého nebo neznámého chování- ductus craniopharyngealis
1488,D445,Novotvar nejistého nebo neznámého chování- epifýza -pinealis
1489,D446,Novotvar nejistého nebo neznámého chování- karotické tělískoglomuscaroticum
1490,D447,Novotvar nejistého nebo neznámého chování- aortické tělískojináparaganglia
1491,D448,Novotvar nejistého nebo neznámého chování- postižení vícesvnitřnísekrecí
1492,D449,"Novotvar nejistého nebo neznámého chování- žláza ssekrecí,NS"
1493,D45, Polycythaemia vera    
1494,D460,Refraktorní anémie bez sideroblastů   
1495,D461,Refraktorní anémie se sideroblasty   
1496,D462,Refraktorní anémie s přebytkem blastů  
1497,D463,Refraktorní anémie s přebytkem blastů s transformacemi
1498,D464,"Refraktorní anémie, NS    "
1499,D467,Jiné myelodysplastické syndromy    
1500,D469,"Myelodysplastický syndrom, NS    "
1501,D470,Novotvary nejistého a neznámého chování z histiocytůkmenovýchbuněk
1502,D471,Chronická myeloproliferativní nemoc    
1503,D472,Monoklonální gamapatie     
1504,D473,Esenciální (hemoragická) trombocytémie    
1505,D477,"Jiné specifik.nádory nejistého nebo neznámého chování, mízní,příbuz.tkáně"
1506,D479,"Nádory nejistého nebo neznámého chování mízní, hematopoeticképříbuznétkáněNS"
1507,D480,Novotvar nejistého nebo neznámého chování- kost achrupavka
1508,D481,Novotvar nejistého nebo neznámého chování- pojivová aměkkátkáň
1509,D482,Novotvar nejistého nebo neznámého chování- periferní nervyautonomnínervovásoustava
1510,D483,Novotvar nejistého nebo neznámého chování- retroperitoneum 
1511,D484,Novotvar nejistého nebo neznámého chování- peritoneum 
1512,D485,Novotvar nejistého nebo neznámého chování- kůže 
1513,D486,Novotvar nejistého nebo neznámého chování- prs 
1514,D487,Novotvar nejistého nebo neznámého chování- jiné určené
1515,D489,Nádory nejistého nebo neznámého chování NS 
1516,D500,Sekundární (chronická) a po ztrátě krevní zželeza
1517,D501,Sideropenická dysfagie     
1518,D508,Jiné anémie z nedostatku železa  
1519,D509,"Anémie z nedostatku železa, NS  "
1520,D510,Anémie z nedostatku vitaminu B12 způsobená nedostatkemfaktoru
1521,D511,Anémie z nedostatku vitaminu B12 způsobená selektivnívitam.B12sproteinurií
1522,D512,Nedostatek transcobalaminu II.    
1523,D513,Jiná nutriční anémie z nedostatku vitaminu B12
1524,D518,Jiné anémie z nedostatku vitaminu B12 
1525,D519,"Anémie z nedostatku vitaminu B12, NS "
1526,D520,Nutriční anémie z nedostatku kyseliny listové 
1527,D521,"Anémie z nedostatku kyseliny listové, vyvolaná léky"
1528,D528,Jiné anémie z nedostatku kyseliny listové 
1529,D529,"Anémie z nedostatku kyseliny listové, NS "
1530,D530,Anémie z nedostatku proteinů   
1531,D531,Jiné megaloblastické anémie nezařaditelné jinam  
1532,D532,Anémie z nedostatku vitamínu C  
1533,D538,Jiné určené nutriční anémie   
1534,D539,Nutriční anémie NS    
1535,D550,Anémie způsobená nedostatkem glukoso-6-fosfátdehydrogenázy [G-6-PD]  
1536,D551,Anémie způsobená jinými poruchami metabolismu glutathionu 
1537,D552,Anémie způsobená poruchami glykolytických enzymů  
1538,D553,Anémie způsobená poruchami metabolismu nukleotidů  
1539,D558,Jiné anémie způsobené poruchami enzymů  
1540,D559,"Anémie způsobená poruchou enzymu, NS  "
1541,D560,Alfa thalasémie     
1542,D561,Beta thalasémie     
1543,D562,Delta - beta thalasémie   
1544,D563,Thalasémický typ     
1545,D564,Dědičná persistence fetálního hemoglobinu [HPFH]  
1546,D568,Jiné thalasémie     
1547,D569,"Thalasémie, NS     "
1548,D570,Srpkovitá anémie s krizí   
1549,D571,Srpkovitá anémie bez krize   
1550,D572,Zdvojené heterozygotní poruchy srpkovatění   
1551,D573,Další typy srpkovité anémie   
1552,D578,Jiné srpkovité poruchy    
1553,D580,Dědičná sférocytóza     
1554,D581,Dědičná eliptocytóza     
1555,D582,Jiné hemoglobinopatie     
1556,D588,Jiné určené dědičné hemolytické anémie  
1557,D589,"Dědičná hemolytická anémie, NS   "
1558,D590,Autoimunní hemolytická anémie vyvolaná léky  
1559,D591,Jiné autoimunní hemolytické anémie   
1560,D592,Neautoimunní hemolytická anémie vyvolaná léky  
1561,D593,Hemolyticko-uremický syndrom     
1562,D594,Jiné neautoimunní hemolytické anémie   
1563,D595,Paroxysmální noční hemoglobinurie [Marchiafava-Micheli]   
1564,D596,Hemoglobinurie způsobená hemolýzou z jiných vnějších příčin
1565,D598,Jiné získané hemolytické anémie   
1566,D599,"Získaná hemolytická anémie, NS   "
1567,D600,Chronická získaná čistá aplasie červených krvinek 
1568,D601,Přechodná získaná čistá aplasie červených krvinek 
1569,D608,Jiná získaná čistá aplasie červených krvinek 
1570,D609,"Získaná čistá aplasie červených krvinek, NS "
1571,D610,Konstituční aplastická anémie    
1572,D611,Aplastická anémie vyvolaná léky   
1573,D612,Aplastická anémie způsobená jinými zevními příčinami 
1574,D613,Idiopatická aplastická anémie    
1575,D618,Jiné určené aplastické anémie   
1576,D619,"Aplastická anémie, NS    "
1577,D62, Akutní posthemorragická anémie   
1578,D630,Anémie při onemocněních novotvary (C00-D48+)  
1579,D638,Anémie při jiných chronických nemocech zařazených jinde
1580,D640,Dědičná sideroblastická anémie    
1581,D641,Sekundární sideroblastická anémie způsobená nemocí  
1582,D642,Sekundární sideroblastická anémie způsobená léky a jedy
1583,D643,Jiné sideroblastické anémie    
1584,D644,Vrozená dyserytropoetická anémie    
1585,D648,Jiné určené anémie    
1586,D649,"Anémie, NS     "
1587,D65, Diseminovaná intravaskulární koagulace [Defibrinační syndrom] 
1588,D66, Dědičný nedostatek faktoru VIII  
1589,D67, Dědičný nedostatek faktoru IX  
1590,D680,Von Willebrandova nemoc    
1591,D681,Dědičný nedostatek faktoru XI   
1592,D682,Dědičný nedostatek jiných koagulačních faktorů  
1593,D683,Krvácivé stavy způsobené cirkulujícími antikoagulancii  
1594,D684,Získaný nedostatek koagulačních faktorů   
1595,D688,Jiné určené vady koagulace   
1596,D689,"Vada koagulace, NS    "
1597,D690,Alergická purpura     
1598,D691,Kvalitativní poruchy trombocytů    
1599,D692,Jiné netrombocytopenické purpury    
1600,D693,Idiopatická trombocytopenická purpura    
1601,D694,Jiná primární trombocytopenie    
1602,D695,Sekundární trombocytopenie     
1603,D696,"Trombocytopenie, NS     "
1604,D698,Jiné určené krvácivé stavy   
1605,D699,"Krvácivý stav, NS    "
1606,D70, Agranulocytóza     
1607,D71, Funkční poruchy polymorfonukleárních neutrofilů (granulocytů) 
1608,D720,Genetické anomalie leukocytů    
1609,D721,Eozinofilie      
1610,D728,Jiné určené poruchy bílých krvinek  
1611,D729,"Porucha bílých krvinek, NS   "
1612,D730,Hyposplenismus      
1613,D731,Hypersplenismus      
1614,D732,Chronická kongestivní splenomegalie    
1615,D733,Absces sleziny     
1616,D734,Cysta sleziny     
1617,D735,Infarkt sleziny     
1618,D738,Jiné nemoci sleziny    
1619,D739,"Nemoc sleziny, NS    "
1620,D740,Vrozená methemoglobinémie     
1621,D748,Jiné methemoglobinémie     
1622,D749,"Methemoglobinémie, NS     "
1623,D750,Rodinná erytrocytóza     
1624,D751,Sekundární polycytémie     
1625,D752,Esenciální trombocytóza     
1626,D758,Jiné určené nemoci krve a krvetvorných orgánů
1627,D759,"Nemoc krve a krvetvorných orgánů, NS "
1628,D760,Histiocytóza z Langerhansových buněk nezařaditelná jinam 
1629,D761,Hemofagocytární lymfohistiocytóza     
1630,D762,"Hemofagocytární syndrom, spojený s infekcí  "
1631,D763,Jiné histiocytární syndromy    
1632,D77, Jiné poruchy krve a krvetvorných orgánůnemocízařazenýchjinde
1633,D800,Dědičná hypogamaglobulinémie     
1634,D801,Hypogamaglobulinémie rodinně se nevyskytující   
1635,D802,Selektivní defekt imunoglobulinu A [IgA]  
1636,D803,Selektivní defekt podtříd imunoglobulinu G [IgG] 
1637,D804,Selektivní defekt imunoglobulinu M [IgM]  
1638,D805,Imunodeficience se zvýšením imunoglobulinu M [IgM] 
1639,D806,Imunodeficience s téměř normálními imunoglobuliny nebo hyperimunoglobulinémií
1640,D807,Přechodná hypogamaglobulinémie v dětství   
1641,D808,Jiné imunodeficience s převahou poruch protilátek 
1642,D809,"Imunodeficience s převahou poruch protilátek, NS "
1643,D810,Těžké kombinované imunodeficience [SCID] s retikulární dysgenezí
1644,D811,Těžké kombinované imunodeficience [SCID] s nízkými počtyaBbuněk
1645,D812,Těžké kombinované imunodeficience [SCID] s nízkým nebopočtemBbuněk
1646,D813,Nedostatek adenosindeaminázy [ADA]    
1647,D814,Nezelofův syndrom     
1648,D815,Nedostatek purinnukleosid. fosforylázy (PNP)   
1649,D816,Defekt exprese hlavního histokompatibilního komplexu (MHC) I.
1650,D817,Defekt exprese hlavního histokompatibilního komplexu (MHC) II.
1651,D818,Jiné kombinované poruchy imunity   
1652,D819,"Kombinovaná porucha imunity, NS   "
1653,D820,Syndrom Wiskottův - Aldrichův   
1654,D821,Di Georgeův syndrom    
1655,D822,Imunodeficience s dysproporčním trpaslictvím   
1656,D823,Imunodeficience provázející dědičnou chybnou odpověď na virus[EBV]
1657,D824,Syndrom hyperimunoglobulinémie E [IgE]   
1658,D828,Jiné imunodeficience spojené s velkými poruchami nezařaditelné
