,Diagnose_KEY,Diagnose_name,Diagnose_Code,Diagnose_Flag,Diagnose_Silver_ID
2652,2653,Jiné mononeuropatie při nemocech zařazených jinde ,G598,,LX7HZNZ6-NEVE-OIQ2-0BFE-CF0JBGCHULCD
2653,2654,Dědičná motorická a senzorická neuropatie  ,G600,L,64R82471-O3QP-BNMY-V7E6-P1BTLVE5L8K1
2654,2655,Refsumova nemoc     ,G601,L,NOOWNIQJ-KAI8-4TEK-E2CS-EGC0ZDY3U60O
2655,2656,Neuropatie ve spojení s hereditázní ataxií ,G602,,TADC6M3R-PR95-G8GB-9AY9-7IJV9WGCNRPR
2656,2657,Idiopatická progresivní neuropatie    ,G603,LU,ME9P6F3Y-COM7-5FEM-8HVC-ZP0W9VXLOEE1
2657,2658,Jiné dědičné a idiopatické neuropatie  ,G608,L,6AH2A35O-TQNW-RFP3-R6HE-FB0RMWJQOV7K
2658,2659,"Dědičná a idopatická neuropatie, NS  ",G609,,CYMPFHR4-PNB5-VLER-PUCC-U8GWWBO4NYEM
2659,2660,Guillainův - Barréův syndrom   ,G610,,3A1E51O1-01Z2-QTGZ-WMH0-RUW260ITZSUB
2660,2661,Sérová neuropatie     ,G611,LU,E802QEXD-2W9I-78AX-6021-6YSEMY3HN16G
2661,2662,Jiné zánětlivé polyneuropatie    ,G618,L,QD0LWX38-XCES-6UKO-0X9R-CSS6HDHFJWIB
2662,2663,"Zánětlivá polyneuropatie, NS    ",G619,L,JP4XU4GD-YWHC-CGMG-1W8M-RO86OL1BGABN
2663,2664,Polyneuropatie způsobená léčivy    ,G620,,FBLT4RUK-QH82-GUU7-ZX9N-Z2CFGJ1AJ4FC
2664,2665,Alkoholická polyneuropatie     ,G621,L,MNF4T871-5SBV-RKAS-LTHL-MDW2RX6YEXC1
2665,2666,Polyneuropatie způsobená jinými toxickými látkami  ,G622,L,FZTKGAYU-QDAJ-VXUW-7LXI-YZHATN5NYAWR
2666,2667,Jiné určené polyneuropatie    ,G628,,WRLS6D3G-D0RD-L32A-M2V0-2U3F0XPCP32V
2667,2668,"Polyneuropatie, NS     ",G629,LU,MF1IRY89-0S5I-F66I-MKF2-RJXGGPVWFSSP
2668,2669,Polyneuropatie při infekčních a parazitárních nemocech zařazených,G630,L,5RSWFN48-T3TK-MMUW-QRMG-WUMD9324MP3G
2669,2670,Polyneuropatie při novotvarech (C00 - D48+) ,G631,L,6OV13ZCJ-4B2E-98K6-E2RA-3F2QUO7BUSGV
2670,2671,Diabet.polyneuropatie (E10 - E14+ se spol.charakteristikou .4čtvrtémmístě),G632,LU,1NM03X6R-SW4E-3S1Q-Y3QZ-MH36VWBXVFS0
2671,2672,"Polyneuropatie při j.nem.endokrinních a přeměny látek(E00-E07+,E15-E16+,E20-E34+,E70-E89+) ",G633,,DB73EY3C-WRC7-GP1M-CLPC-3XDC0YPFJY3F
2672,2673,Polyneuropatie při nutričních karencích (E40 - E64+),G634,,JCS99BU4-3KH2-6222-68CT-VQ6CNT4AE501
2673,2674,Polyneuropatie při systémových poruchách pojivové tkáně (M30M35+),G635,LU,2REUR7WY-BMSO-XA5E-F9GJ-LB654ZPIBE7U
2674,2675,"Polyneuropatie při jiných svalově - kosterních poruchách-M25+,M40-M96+)",G636,,CWUVVX3J-OZ5U-5LOB-HJAZ-970791TWDZU5
2675,2676,Polyneuropatie při jiných nemocech zařazených jinde ,G638,,6V2FNNMQ-PAGM-6E8U-GDBR-EY3CPEJP9EEY
2676,2677, Jiné nemoci periferní nervové soustavy ,G64,L,KSZ20CM9-P4J4-Z4ZC-PIWA-UU3BXTCBMDYL
2677,2678,Myasthenia gravis     ,G700,L,O4TQL3UO-K5JU-LME7-IKAF-BEFGNIUMZFX5
2678,2679,Toxické myoneurální poruchy    ,G701,,4A7SO1H8-PD6M-DGOJ-4GDW-JWYW7QXA7162
2679,2680,Vrozená nebo vývojová myasténie   ,G702,,9OYX1XZT-QDA8-FN19-DYO8-G1FJ9MAV35CY
2680,2681,Jiné určené myoneurální poruchy   ,G708,,PUGCLTLE-BJDD-H9V2-EOW3-0VVECOHH74IU
2681,2682,"Myoneurální porucha, NS    ",G709,,RXKKER2U-9IRM-Y5T2-3VSB-WSI91O7WYB2U
2682,2683,Svalová dystrofie     ,G710,L,WNIH94YD-LI1U-6R43-2RU3-O4QBD4JAOPMS
2683,2684,Myotonické poruchy     ,G711,L,HKFYX5Q3-W94B-WARG-0H07-F9EUUZ9WQ2CT
2684,2685,Vrozené myopatie     ,G712,,X6HUOOM9-0HH1-EMPO-5MT5-618VGGUXED3E
2685,2686,Myopatie mitochondriální nezařazená jinde   ,G713,,4O4T7NCQ-MMUY-L7VC-BNI5-IXXCP73G3WWF
2686,2687,Jiné primární poruchy svalů   ,G718,L,D290KTHJ-BT9U-U384-PN87-692UH0ZEPL46
2687,2688,"Primární porucha svalu, NS   ",G719,,PB9BHOSB-VHLT-6RBO-783F-08CT8SFCPQW7
2688,2689,Myopatie způsobená léčivy    ,G720,,8GN7WWO7-WT8M-KOZ2-4W4V-CDQ9Q08DDKUQ
2689,2690,Alkoholická myopatie     ,G721,,SHMCXZO0-IKQP-2ZWT-TLXS-CZURT2DLUWOW
2690,2691,Myopatie způsobená jinou toxickou látkou  ,G722,,RBEAOIOG-VQWP-3EAL-DXS0-9HY57P62569S
2691,2692,Periodické ochrnutí     ,G723,,IEDUZ9GU-7U7I-V4FI-PP8I-DGNF06PEUJF3
2692,2693,Zánětlivá myopatie nezařaditelná jinam   ,G724,L,F1PM445B-I3GC-CI6W-N3SZ-CN8A26IR125N
2693,2694,Jiné určené myopatie    ,G728,L,0D8CSNYU-GFRL-K0V1-TODO-9EM4E8KX6V0R
2694,2695,"Myopatie, NS     ",G729,L,7C3G5RZM-XUA8-6WTY-0T2P-R06W3GD9VGEU
2695,2696,Myastenické syndromy při endokrinních nemocech  ,G730,L,NN6RHWAE-G5U7-WGC6-T2P2-73MXI8DGHCZU
2696,2697,Eatonův - Lambertův syndrom (C80+)  ,G731,,ADNHCO5I-CIFB-JQXM-6EVD-ETFXN275AS8N
2697,2698,Jiné myastenické syndromy při novotvarech (C00 -,G732,L,N58TGVVV-CBUD-8UAE-7822-84YQWELY5MBF
2698,2699,Myastenické syndromy při jiných nemocech zařazených jinde,G733,,78F5VGUY-WMJX-3K2L-9813-20KPU0F96N3C
2699,2700,Myopatie při infekčních a parazitárních nemocech zařazených,G734,LU,N4IVAK6O-5LC3-7YXL-0PZG-5Y2FD5AJ0PXJ
2700,2701,Myopatie při endokrinních nemocech   ,G735,,SF3GYAQ8-VO5T-50OY-351B-LWF9Q657GWFR
2701,2702,Myopatie při poruchách přeměny látek  ,G736,,P7JFT70D-V4Q1-1F9W-NK9P-HR6HYT66WKJ2
2702,2703,Myopatie při jiných nemocech  zařazených jinde,G737,L,JQIZAP4E-GAH3-ZFNV-ARUL-4R12UO3CASB6
2703,2704,Spastická mozková obrna    ,G800,,3H13AM57-A642-JFOA-GX2F-4JJF3UT67MHM
2704,2705,Spastická diplegie     ,G801,,LG8LMTGJ-5W5Q-R0K7-L2G6-2GNMS4TM2YD9
2705,2706,Dětská hemiplegie     ,G802,L,HQBCUF1L-JZY0-V4ME-TG74-4WESGW6R780V
2706,2707,Dyskinetická mozková obrna    ,G803,L,GA8SUCEZ-J6AC-EHJ4-4BVA-RHNRDL9VI0US
2707,2708,Ataktická mozková obrna    ,G804,L,PR16914P-LGQS-29MA-IMYG-CQ4KVTFB6BD1
2708,2709,Jiná dětská mozková obrna   ,G808,L,6KIWEUIK-174C-DTW8-X76G-QVN3D2N5HX64
2709,2710,"Dětská mozková obrna, NS   ",G809,,WLFB4EHL-YF6F-ITXT-XMMD-PD3FCVITMUZ5
2710,2711,Chabá hemiplegie     ,G810,,GKARYE7C-YCJR-BBIJ-I63S-K7I4J4YUJ6AI
2711,2712,Spastická hemiplegie     ,G811,L,X4DNHQPY-5YMO-4J8O-88NA-LKDT02C73XB1
2712,2713,"Hemiplegie, NS     ",G819,L,8P006A89-0LIW-1QDH-A7P7-H1KLQB8IKEKV
2713,2714,Chabá paraplegie     ,G820,,I432MGI2-94RM-7W2D-NMG8-PEU26BCG3BPQ
2714,2715,Spastická paraplegie     ,G821,,LUDPP0SO-LFP3-46DW-FIZC-0W8ASK9Q74AI
2715,2716,"Paraplegie, NS     ",G822,L,0B67XO9B-V8JJ-ZWGP-CIW9-3AARPZQFRKYG
2716,2717,Chabá tetraplegie     ,G823,,CF4EIK6I-AS91-2AGK-U1VK-VQJUBMAA79PB
2717,2718,Spastická tetraplegie     ,G824,LU,OG76Q1A2-WVDB-HG7T-3807-VZ4GR83U7383
2718,2719,"Tetraplegie, NS     ",G825,L,AX5QJSVG-8I3T-0GZU-GIRK-I7AXIU6K1WOO
2719,2720,Diplegie horních končetin    ,G830,,T2LDXDSA-MG84-CZC0-135I-75J7J4SIWHM0
2720,2721,Monoplegie dolní končetiny    ,G831,LU,6SDNQ6V9-W3KK-J2MZ-L61M-0194GLYA7OYC
2721,2722,Monoplegie horní končetiny    ,G832,L,Y9G6ZBXA-AM43-2L8M-Y6T5-F35VPY30Y19Q
2722,2723,"Monoplegie, NS     ",G833,L,XKFXB5MO-O5QD-K6YN-OL5B-9EV4S0XZD8O0
2723,2724,Syndrom kaudy equiny    ,G834,,0CNPP8YS-4SMQ-20VR-Z4IB-T04FCOJNURAV
2724,2725,Jiné určené paralytické syndromy   ,G838,L,QPUVTX31-088S-WNFL-WNYY-6D3E1QLD65UB
2725,2726,"Paralytický syndrom, NS    ",G839,L,IN9H4F14-ZQ2R-FITQ-6EQY-KKWL0NYF6ZSV
2726,2727,Idiopatická periferní autonomní neuropatie   ,G900,LU,5JS5AZ1O-PXT0-HNDL-9S4N-XWQWUPG5LV0T
2727,2728,Rodinná dysautonomie [Rileyův-Dayův syndrom]   ,G901,,NJ8GKQWA-F7C7-YPM8-D3GK-1PNQFVBDQMBF
2728,2729,Hornerův syndrom     ,G902,,PBC3XFHJ-NRJI-JVXA-GSHH-EXHTTBZROF02
2729,2730,Multisystémová degenerace     ,G903,L,3Y5TVZ7U-KBRT-Q28O-CW33-YBNGHAQIH5MR
2730,2731,Jiné poruchy autonomní nervové soustavy  ,G908,,WA9TQE4Y-8TJO-8BKS-0M06-LI5PAPILTJGL
2731,2732,"Porucha autonomní nervové soustavy, NS  ",G909,L,3IEPWMNE-T1XO-8OCY-Y4MQ-XXJMABW5R7GI
2732,2733,Komunikující hydrocefalus     ,G910,,LW64VE5C-W0WW-G80W-WF64-BY9L8FOUFPZD
2733,2734,Obstrukční hydrocefalus     ,G911,L,1422WAGQ-XLDR-RY7A-E7FP-BTTXTZJ1VQ8R
2734,2735,Hydrocefalus s normálním tlakem   ,G912,,07U1BZHA-7R0I-D1ZL-KJAZ-RZ3DR8XSU0OX
2735,2736,"Poúrazový hydrocefalus, NS    ",G913,L,5CXDOYKR-B516-N2QI-BOEC-SPKV0ZA3D2Z7
2736,2737,Jiný hydrocefalus     ,G918,,O4FTN9AO-EOP0-YD12-41KR-MGMP6FDS79M6
2737,2738,"Hydrocefalus, NS     ",G919,,MMIHTXM8-Y57F-KCDG-UXRR-ATIZP60Q9RVR
2738,2739, Toxická encefalopatie    ,G92,L,D3BQWDXV-4DWX-ER1Y-1AAQ-EI71ASBVSCZQ
2739,2740,Mozkové cysty     ,G930,L,PWL7AR5S-MSSU-Q80B-832D-J4XMPI29U4UB
2740,2741,Anoxické poškození mozku nezařaditelné jinam  ,G931,L,RRFXWDOM-RRRV-ON18-9CSZ-ROW8GYH3HMLL
2741,2742,Nezhoubná nitrolební hypertenze    ,G932,L,IRKW5ZET-QVNV-JY2C-Y7WA-KX60EKCTVM8S
2742,2743,Povirový syndrom únavy    ,G933,L,081GKLOE-8H98-UMJG-2L78-N87J6M4A4VTL
2743,2744,"Encefalopatie, NS     ",G934,,KT5XSRF2-KBR9-L63L-MM0K-EZ3P9SIA14TS
2744,2745,Komprese - stlačení - mozku  ,G935,,1CIYFYIM-TY8O-23CB-UXQW-OQ43MS8M54IX
2745,2746,Edém mozku     ,G936,,MNR18H0F-49CL-G5D9-JK8T-M1R9EOFIFPGJ
2746,2747,Reyeův syndrom     ,G937,,JRR3U34P-FQSI-2E9W-9QT4-R49QVTXOLSN3
2747,2748,Jiné určené poruchy mozku   ,G938,L,9NNLUOB9-W98B-3OI0-LU3H-PWFU3V2OX5GG
2748,2749,"Porucha mozku, NS    ",G939,,TY3C2H3E-PJJJ-ZAPV-ZRLQ-PD4MV2AULBBV
2749,2750,Hydrocefalus při infekčních a parazitárních nemocech zařazených(A00-B99+),G940,,85H1MB2X-J5IY-H48Y-ASBZ-KOVMNNQDK359
2750,2751,Hydrocefalus při novotvarech (C00 - D48+) ,G941,L,R9EIC98V-X5BL-ODTY-0PKK-E7UR013S0CMS
2751,2752,Hydrocefalus při jiných nemocech zařazených jinde ,G942,L,DSJOY1KI-57I4-5LBS-DPEO-300B0C9M2JDO
2752,2753,Jiné určené poruchy mozku při nemocech zařazených,G948,,9H232MK7-IJ84-584P-G9SQ-HHRVNMIUY61Q
2753,2754,Syringomyelie a syringobulbie    ,G950,L,V8YI1IQH-L2UI-XSX2-XY9X-84SC08A1RJ08
2754,2755,Cévní myelopatie     ,G951,,340AALVK-Y235-X3ST-XQ0T-DEK5QD7WCO6N
2755,2756,"Komprese míchy, NS    ",G952,L,6B4T6KPJ-XT5D-JH14-RLJX-YB2G55BTLE2W
2756,2757,Jiné určené nemoci míchy   ,G958,L,05XNMEIJ-PL8E-6ZAP-IF6Q-ZXYX0NDDQ1K1
2757,2758,"Nemoci míchy, NS    ",G959,LU,L5P1HGBH-YM5R-0Z1Q-2N9X-MUZ385JO1AIY
2758,2759,Prosakování cerebrospinálního moku    ,G960,,N76FKOPF-JWQC-J262-GUJD-GO8BE8JS74VR
2759,2760,Nemoci mozkových a míšních plen nezařazené jinam,G961,,P7SNKPV1-501Y-6JNW-RLTY-H6V41SEWNM0I
2760,2761,Jiné přesně určené poruchy centrální nervové soustavy,G968,L,JOUO4QJ4-H9S2-I0NX-DEA9-E8NFIIXZCQTO
2761,2762,"Porucha centrální nervové soustavy, NS  ",G969,L,C04E9P9L-8KS1-6Y0M-POBD-5LB20JDOB3TG
2762,2763,Prosakování cerebrospinálního moku po punkci  ,G970,LU,4OA3TO9G-Z9BQ-2EIA-VMIF-YHF6JERIEEM5
2763,2764,Jiná reakce po punkci spinální nebo lumbální,G971,LU,W6MWA74D-43S3-HQEV-IU6X-EF8SL949VYC1
2764,2765,Nitrolební hypotenze po ventrikulárním zkratu  ,G972,,L704WGHR-YEZQ-YXHM-AV5R-YGIQMIQCNA11
2765,2766,Jiné poruchy nervové soustavy po výkonech ,G978,L,TKXHLTMB-BQY3-ZA5L-5YYA-ESU4EJ0TQVLF
2766,2767,"Poruchy nervové soustavy po výkonech, NS ",G979,L,MQEA38IB-TXYE-MWXD-ILFL-BJVTDW0HZ44F
2767,2768, Jiné poruchy nervové soustavy nezařazené jinam,G98,L,GFWZS3YD-RCJ7-KN9C-31RL-5X9LNN16IBEF
2768,2769,Autonomní neuropatie při nemocech endokrinních a výměny,G990,,D5EFYIXC-VV33-EJN9-D1G8-FAGH649QYP47
2769,2770,Jiné poruchy autonomní nervové soustavy při jinýchzařazenýchjinde,G991,,MDW96E9S-O5PM-NWUJ-1DXE-ZYJJSO36F6KX
2770,2771,Myelopatie při nemocech zařazených jinde  ,G992,L,85Q3K9BZ-9MW9-7JYT-NTQ9-9PS2POPYB08F
2771,2772,Jiné určené poruchy nervové soustavy při nemocechjinde,G998,,DFVU2OPE-YXK5-OLRM-Q2HL-Y7IRB0N80XTA
2772,2773,Hordeolum a jiný hluboký zánět očního víčka,H000,,BCQRNL5G-JB3T-NUAA-A1V6-J4Q5AOAA4B8S
2773,2774,Chalazion      ,H001,L,77JCMKBS-Y51K-MLL7-XCLS-9I0L45ZLJTF1
2774,2775,Blefaritis      ,H010,L,SPK3QLZY-DFAB-NS4C-TPQ3-I4NVT9T5FV74
2775,2776,Neinfekční dermatózy očního víčka   ,H011,L,GXC4U76D-DJQY-EVNC-1XPH-9M9JZ3EB6B0P
2776,2777,Jiné určené záněty očního víčka  ,H018,L,VER2L9B8-D7S7-UB8C-UHQT-74XY7HTOTBRF
2777,2778,"Zánět očního víčka, NS   ",H019,,HNY748UH-7IHT-HYYI-1YKE-L651I1GDW9TQ
2778,2779,Entropium a trichiáza očního víčka  ,H020,,82J87LSA-VLQK-BKLT-QVTQ-VWC1LFG8MLSU
2779,2780,Ektropium očního víčka    ,H021,L,NF5U7HDJ-GZ87-MR3O-CUGR-Y7C8YVZK7965
2780,2781,Lagoftalmus      ,H022,L,U56PXSSC-UTA3-DZWX-PHP5-LMMHYGXYI5ID
2781,2782,Blefarochalaza      ,H023,L,7TX6LRFP-9UQD-ME7S-WF4Z-W41PB6XPJ3AF
2782,2783,Ptóza očního víčka    ,H024,L,VMZAFN3T-16FR-1KF4-VS4C-KS1BM17SZKRY
2783,2784,Jiná onemocnění postihující funkci očního víčka ,H025,LU,QKRLOK4J-PFFE-LYQO-B14P-AE9RXM3ON0KG
2784,2785,Xantelazma očního víčka    ,H026,,QESRCCP6-WH4E-BTXT-N0IQ-KLW5GXMSAQ6E
2785,2786,Jiná degenerativní onemocnění očního víčka a periokulární,H027,L,HV6WZEX5-28NI-DUV0-G6RI-EEKT32IW4PKQ
2786,2787,Jiné určené nemoci očního víčka  ,H028,,ERX9AQTC-8JBO-IHR7-I1LI-LL1Z9SAIK0IH
2787,2788,"Nemoci očního víčka, NS   ",H029,,V51WFJLM-PKDO-CUMW-5I4T-WZXDJRGWDZB2
2788,2789,Parazitární postižení očního víčka při nemocech zařazemých,H030,L,DVHO404Y-WWSN-QQYG-WCUY-NSXAIZOHEJ9D
2789,2790,Postižení očního víčka při jiných infekčních nemocechjinde,H031,L,RPQRPC3G-BZQY-HFPN-3JWE-JF3X08L4KJI4
2790,2791,Postižení očního víčka při jiných nemocech zařazených,H038,LU,QXI611HS-AGVW-F5BB-XWP4-OWWAI6F0ZTZZ
2791,2792,Dakryoadenitis      ,H040,,XK700BRS-65BE-0VC1-JWET-SLM5CBP3HMWZ
2792,2793,Jiné onemocnění slzné žlázy   ,H041,,V14KLZU8-QU3Q-DMRO-451J-8Y0QTR2SVH3L
2793,2794,Epifora      ,H042,L,RG3AZL6D-BP8Z-QTPR-J4T6-1KUZYNUTLPEY
2794,2795,Akutní a neurčený zánět slzných cest ,H043,L,LV0WIDE1-2ZCP-XO1Y-SSS4-MB749VIV5VIV
2795,2796,Chronický zánět slzných cest   ,H044,,F8G1SZKS-1CVL-K633-V74O-ALGHQCCD7Z0K
2796,2797,Stenóza a insuficience slzných cest  ,H045,,BI05O2PF-LY80-7SBX-S48H-0RWBVT16GTYX
2797,2798,Jiné změny v slzných cestách  ,H046,,3E70AI5V-9EMT-V9Y5-0HA8-PUM23ODTRZRB
2798,2799,Jiné nemoci slzného ústrojí   ,H048,,69BDS8Y0-CC2X-LRUK-2VNJ-EUQS944IVW5W
2799,2800,"Nemoci slzného ústrojí, NS   ",H049,L,HKF7ELS0-NQGM-N8YS-TIQ1-E9TQMCR8T8FX
2800,2801,Akutní zánět očnice    ,H050,,WS08O9JX-8S6M-UP40-KXQ2-XLF195YRP1MT
2801,2802,Chronická zánětlivá onemocnění očnice   ,H051,L,HXQGA8LH-EIMO-TLOO-I9PX-BVGUUVZE16BV
2802,2803,Exoftalmické stavy     ,H052,L,VNXK8RVC-VO8R-SB2G-PPIA-3I4FAZAQ44GR
2803,2804,Deformace očnice     ,H053,,2REG2O0P-T1E1-NUNV-B7T1-HN0HI803XZB4
2804,2805,Enoftalmus      ,H054,LU,39J7Y7RE-XF9K-QCTO-AFZ7-CGSFZPOAQW1Q
2805,2806,Staré cizí těleso po perforujícím poranění očnice,H055,,UMJVOHZJ-FUH8-5CNY-2VHC-1GO2L21ZB3TS
2806,2807,Jiná onemocnění očnice    ,H058,L,B0R1O887-J48H-GWYK-4YZ5-02O0Y8XT8UT1
2807,2808,"Onemocnění očnice, NS    ",H059,L,147RX2QN-W6G2-HF2I-SS2D-6O78RUCUOAPB
2808,2809,Onemocnění slzného ústrojí při nemocech zařazených jinde,H060,L,3ICKVRVO-9OSF-I3V7-C8C1-MRNMBSHFAEZ3
2809,2810,Parazitární postižení očnice při nemocech zařazených jinde,H061,L,GBB2K5D7-IZFZ-X3QS-A17A-IOPWT09MDMFP
2810,2811,Exoftalmus při dysfunkci štítné žlázy (E05.-+) ,H062,,EX9Q3SGU-DH0H-BHJ8-5JVE-1D4KDA4ZNKCY
2811,2812,Jiná onemocnění orbity při nemocech zařazených jinde,H063,,8IIFQHHZ-Z075-PUZ1-7Q3V-GSCK3VAVVZ39
2812,2813,Mukopurulentní konjunktivitis     ,H100,L,1X37OP5P-IQEB-NEYT-H5M6-1CHO3GLVVLKP
2813,2814,Akutní konjunktivitis atopická    ,H101,,MQ3IDZWY-8PO9-GKFM-TZAO-PG4DKDM9PQOM
2814,2815,Jiná akutní konjunktivitis    ,H102,L,USBNCO89-I36M-K5I3-LMYY-SDBAKTAIC8OM
2815,2816,"Akutní konjunktivitis, NS    ",H103,,J7R0Z8DD-EI76-7ENA-34FD-26J5BC16APL6
2816,2817,Chronická konjunktivitis     ,H104,,2Q8NQ2YF-1ECJ-JUS1-9DHB-CZ5LP0R21NDT
2817,2818,Blefarokonjunktivitis      ,H105,,R2E4ZXMW-UQ5X-NDUN-9DB2-69HBOLIS5KQ9
2818,2819,Jiná konjunktivitis     ,H108,L,SFYZ0IUX-OC5A-BRFP-8WV2-U62TH77OLOYG
2819,2820,"Konjunktivitis, NS     ",H109,L,6YZCNFDN-O9FV-9ZHT-G9P5-OSY7TFD6VKQB
2820,2821,Pterygium      ,H110,LU,Q2NU5P03-YTQH-N1IU-CBJE-NJWW86XVUNXH
2821,2822,Degenerace a depozita spojivky   ,H111,L,0S6G1JBN-73IY-RHMR-KMQZ-F46TF5TB9WH6
2822,2823,Jizvy spojivky     ,H112,LU,E68CX7RN-6F67-APVZ-CPHQ-J8M6Y5FRNM8I
2823,2824,Krvácení do spojivky    ,H113,L,EVPRVV9B-8ZZI-Y66T-VFX6-THA849JBY4PS
2824,2825,Jiná cévní onemocnění a cysty spojivky ,H114,L,5I4NYKO0-R0RU-I2U0-BAG0-DNRHYHQ4CWTD
2825,2826,Jiná určená onemocnění spojivky   ,H118,L,F4TLMVEX-HX15-C978-DSIU-93NQL0FC0BFB
2826,2827,"Onemocnění spojivky, NS    ",H119,,O7J8P7QQ-GIMV-MDL3-84QC-RTDSY577D5X1
2827,2828,Infekce spojivky filariemi  (B74.-+)  ,H130,,U2UCK2A8-2SUX-52ZS-MFKE-UPF40Y2TO9NW
2828,2829,Konjunktivitis při infekčních a parazitárních nemocech zařazených,H131,,SS4RK8OX-4I82-BC1P-U1GD-5KKK3H7N0Z8O
2829,2830,Konjunktivitis při jiných nemocech zařazených jinde ,H132,,JBD1DINY-RKEC-GDUU-GXFF-0B8Q7G564K49
2830,2831,Oční pemfigoid (L12.-+)    ,H133,L,XPUIQVM5-7VFQ-6HJK-3CP0-XMIYTNFT3ST3
2831,2832,Jiné nemoci spojivky při nemocech zařazených jinde,H138,LU,XWYZT85M-C8ZF-HJOJ-IL30-V2RJ5FFWGBOE
2832,2833,Skleritis      ,H150,,RGPTVYV3-9CC8-2JQH-35E6-EQTQ04Y2L94S
2833,2834,Episkleritis      ,H151,L,JQ7UXXVR-MRSK-LWVA-Z8ZQ-DWNYPFWYTLRN
2834,2835,Jiná onemocnění skléry    ,H158,LU,4MG7HMXY-E5QF-PWOF-YXD8-DEFPAAN2HHL6
2835,2836,"Nemoci skléry, NS    ",H159,L,RF54JK7W-JF2D-GXTB-PHOL-1IP9IGL90YRW
2836,2837,Vřed rohovky - ulcus corneae  ,H160,L,78OIDZPH-8IFN-SRNH-71I1-0D09U3NHPB7U
2837,2838,Jiný povrchový zánět rohovky bez zánětu spojivky,H161,,GV3C7HCQ-0036-1VE0-VU0U-LQAZRM8DZGSM
2838,2839,Zánět rohovky a spojivky - keratokonjunktivitis ,H162,LU,ORPBJUE9-HANS-BPL0-6014-6XXDXU0FHJCX
2839,2840,Keratitis intersticiální a hluboká   ,H163,,GMPF4ISK-3L15-0KBK-7EEZ-6Y5K7VEK31NQ
2840,2841,Neovaskularizace rohovky     ,H164,L,HCF0R2P1-W1ZN-FZ6I-H6JO-N7ONG0L6G87W
2841,2842,Jiná keratitis     ,H168,,UF5D652C-RE5O-LQAO-AIKO-0NDKSFWRBRPS
2842,2843,"Keratitis, NS     ",H169,,Q33H3M85-J7AH-L2UK-T9VH-DUG5W10DPZ6D
2843,2844,Adherující leukom     ,H170,L,VC89C3OB-UQL2-QZY2-88LA-F2V8B0S43K5C
2844,2845,Jiný centrální rohovkový zákal   ,H171,,SOQ64664-9Z70-ICF2-P7BO-QCMMOTI2NJ1U
2845,2846,Jiné rohovkové jizvy a zákaly  ,H178,,47CFRYVI-SHIO-9IJP-CODZ-026V26EVKMUB
2846,2847,"Rohovková jizva a zákal, NS  ",H179,L,R8CH7HQW-N9VR-6JMK-DNM6-AFBF401V7X76
2847,2848,Rohovková pigmentace a depozita   ,H180,L,AZ3198O7-VII7-HG3Z-NC0N-O1FB81AAWMUW
2848,2849,Bulózní keratopatie     ,H181,LU,KUUYYCFY-2HLQ-LCRH-19X0-BSBSMFQTONW5
2849,2850,Jiný edém rohovky    ,H182,,R8T587VL-H8TS-4TCS-8AOP-5XZ7G4PN3EFY
2850,2851,Změny v rohovkových vrstvách   ,H183,L,1FX745TK-5CP2-HFXI-9IL7-P2S8INDJNZM8
2851,2852,Degenerace rohovky     ,H184,,SD74MTSN-NMT6-KO55-8MW9-IV5YEKYOWF1Q
2852,2853,Dědičné dystrofie rohovky    ,H185,L,3ZSJ7VY7-L6Z6-ID8M-UKCO-NCL22I8FWHQX
2853,2854,Keratokonus      ,H186,L,NNFJTGD5-K1WO-42RM-XWZE-NIKATD84LXQR
2854,2855,Jiné deformace rohovky    ,H187,LU,EZKRJWBP-QPJG-A46Z-PMFF-WUB4UXJRPQF1
2855,2856,Jiná určená onemocnění rohovky   ,H188,L,QU66EDEI-G3L7-7ZVY-OKA1-VKR3NAGWVN59
2856,2857,"Nemoc rohovky, NS    ",H189,L,D240SXZU-9YSR-DEE8-0WLJ-FSXX3C67YQYG
2857,2858,Skleritis a episkleritis při nemocech zařazených jinde,H190,L,2M7OQRSA-MZM8-S5OO-ZPRM-L1NN6C8ZMIWM
2858,2859,Keratitis a keratokonjunktivitis při herpes simplex ,H191,LU,WM3UOIP3-S8U3-5BI9-YZRD-0TTSIGTPIOIG
2859,2860,Keratitis a keratokonjunktivitis při jiných infekčních anemocech,H192,,BMATWBVC-D63C-MUJ2-YLB3-PM6CD33LPXUA
2860,2861,Keratitis a keratokonjunktivitis při jiných nemocech zařazených,H193,,ZXCTANKR-XR0H-57OI-JZU3-J4IVIQMSF4V3
2861,2862,Jiné nemoci skléry a rohovky při nemocechjinde,H198,L,P6HCNV7Z-RQ1F-YDNG-EM0T-PY5Z4VLDWTNB
2862,2863,Akutní a subakutní iridocyklitis   ,H200,L,GM8P7VLT-VAA7-6CMC-TJKM-4F0OCYCMHWRB
2863,2864,Chronická iridocyklitis     ,H201,L,1NUAV4HK-UO9E-VI4X-6KPC-182VATPF6UID
2864,2865,Fakolytická iridocyklitis     ,H202,L,R9HCE6UO-9OY1-XP3C-4ZUL-ASMCZGKN8SAJ
2865,2866,Jiná iridocyklitis     ,H208,,WPUFFNNX-J5TK-BFB1-SOUA-9G0ISA41SNDY
